NAME,COLOR_COMBINATION,DATE,MALE_PUPPIES,FEMALE_PUPPIES,TOTAL_PUPPIES
PIKIKUONON,blue merle & tricolour,10.4.2018,1,3,4
,sable & tricolour,10.4.2018,2,2,4
KAUNISSAAREN,tricolour & tricolour,8.4.2018,1,1,2
HAPPY MASTER'S,sable & sable,8.4.2018,2,1,3
KHIMAIRAN,black and white & blue merle,8.4.2018,3,0,3
TARUAARTEEN,sable & tricolour,6.4.2018,0,2,2
HAPPY MASTER'S,tricolour & tricolour,6.4.2018,1,2,3
KYTÖKOSKEN,sable & sable,5.4.2018,3,2,5
STARSONG,sable & tricolour,4.4.2018,3,0,3
LEMIRA,blue merle & tricolour,3.4.2018,4,2,6
SAMUWAYS,blue merle & tricolour,3.4.2018,2,2,4
RONSHET'S,blue merle & tricolour,1.4.2018,3,0,3
HELMIKUMMUN,blue merle & tricolour,1.4.2018,0,4,4
PELTSUN,sable & tricolour,1.4.2018,3,1,4
CELEBREN,blue merle & tricolour,30.3.2018,2,2,4
SHEEPWHISPER'S,tricolour & tricolour,30.3.2018,0,4,4
WOOLTWISTER'S,sable & tricolour,29.3.2018,2,3,5
BLACK SHEPARD'S,black and white & blue merle,29.3.2018,0,1,1
BERNOBAN,sable & tricolour,27.3.2018,0,2,2
LEMMIKKIPOLUN,blue merle & tricolour,27.3.2018,2,1,3
ABUNDANTIA'S,blue merle & tricolour,27.3.2018,1,2,3
KAIKISTA KAUNEIN,sable & sable,27.3.2018,2,3,5
BIGANDAN,blue merle & tricolour,26.3.2018,2,3,5
SAAHIN,sable & sable,26.3.2018,1,1,2
CELERITAS,blue merle & tricolour,25.3.2018,2,1,3
AMARANTES,sable & sable,23.3.2018,1,2,3
KAUNISSAAREN,tricolour & tricolour,23.3.2018,2,1,3
SAMUWAYS,sable & sable,23.3.2018,1,4,5
BIGANDAN,blue merle & tricolour,21.3.2018,3,1,4
PILVIMARJAN,blue merle & tricolour,21.3.2018,3,3,6
LINNAISTEN,sable & sable,20.3.2018,0,2,2
BLUE RUMOR'S,sable & sable,18.3.2018,1,3,4
SMARTTEAMS,blue merle & tricolour,18.3.2018,3,0,3
SMARTTEAMS,tricolour & tricolour,17.3.2018,3,2,5
KÄPYLAAKSON,black and white & tricolour,17.3.2018,3,2,5
BERNOBAN,black and white & tricolour,16.3.2018,2,2,4
MUTKIS,sable & tricolour,14.3.2018,3,0,3
BRIDEMOOR'S,sable & sable,13.3.2018,0,3,3
MINITIIMIN,sable & sable,10.3.2018,0,1,1
PELTSUN,blue merle & tricolour,10.3.2018,2,3,5
ZAZA'S,sable & sable,9.3.2018,2,0,2
PILVIKUMMUN,blue merle & tricolour,9.3.2018,1,1,2
BERNOBAN,black and white & blue merle,9.3.2018,1,2,3
GWENDA,sable & sable,8.3.2018,3,1,4
BLUEMEADOW'S,blue merle & tricolour,8.3.2018,1,1,2
SILIMEN,blue merle & tricolour,6.3.2018,0,1,1
SILIMEN,blue merle & tricolour,6.3.2018,1,2,3
JEONAN,sable & tricolour,6.3.2018,3,2,5
MARKHILL'S,sable & tricolour,5.3.2018,0,3,3
MUTKIS,sable & tricolour,4.3.2018,2,3,5
HELMILÄN,blue merle & tricolour,3.3.2018,3,0,3
TOIVESADUN,sable & sable,2.3.2018,1,3,4
KOIVUMEISTERIN,sable & sable,1.3.2018,1,1,2
BOSOM BUDDY'S,blue merle & tricolour,28.2.2018,0,3,3
PELTSUN,sable & tricolour,27.2.2018,3,0,3
NICARO'N,sable & tricolour,26.2.2018,1,2,3
BOMBASTIC,black and white & blue merle,25.2.2018,3,2,5
DREAMLOOK,sable & tricolour,24.2.2018,2,1,3
SMART MOVE,sable & tricolour,24.2.2018,1,2,3
MINITIIMIN,blue merle & tricolour,24.2.2018,3,1,4
SHADELAND,sable & tricolour,22.2.2018,4,1,5
PIKIKUONON,sable & tricolour,22.2.2018,0,3,3
BLACK CLASSIEL'S,blue merle & tricolour,21.2.2018,3,0,3
SILVER GREMLINS,sable & sable,20.2.2018,2,2,4
CLASSICWAY,blue merle & tricolour,19.2.2018,1,0,1
CEREBELLUM'S,sable & tricolour,18.2.2018,4,1,5
JEONAN,blue merle & tricolour,18.2.2018,2,1,3
SHEGUR'N,black and white & blue merle,17.2.2018,4,2,6
VILLANILLAN,black and white & blue merle,15.2.2018,2,2,4
HALOILMIÖN,blue merle & tricolour,13.2.2018,2,3,5
VIOLETDREAM,sable & sable,11.2.2018,2,2,4
EILIFURIN,blue merle & null,10.2.2018,2,2,4
PIKIKUONON,blue merle & tricolour,10.2.2018,1,2,3
SHETFUN,sable & sable,8.2.2018,0,3,3
PIKIKUONON,sable & sable,1.2.2018,1,1,2
SUZI-DOG'S,blue merle & tricolour,1.2.2018,2,3,5
BLACK SARA'S,blue merle & tricolour,31.1.2018,3,2,5
SHET UP,blue merle & tricolour,30.1.2018,2,1,3
ZETLAND'S,sable & sable,27.1.2018,1,1,2
BERNOBAN,black and white & tricolour,26.1.2018,1,3,4
MEI DAN,sable & tricolour,25.1.2018,1,2,3
GOLDEN ROSE,blue merle & tricolour,23.1.2018,3,0,3
REVONHÄNNÄN,sable & tricolour,20.1.2018,1,3,4
BLENMOON,sable & tricolour,19.1.2018,1,2,3
JAZZ,tricolour & tricolour,18.1.2018,1,3,4
KUPSAKAN,blue merle & tricolour,18.1.2018,2,2,4
ANYWAY,sable & sable,16.1.2018,2,3,5
SHADELAND,blue merle & tricolour,12.1.2018,1,0,1
ZETLAND'S,sable & sable,12.1.2018,1,0,1
BLENMOON,sable & tricolour,11.1.2018,3,1,4
SIMBELULUN,sable & tricolour,10.1.2018,1,0,1
SHETWOOD,blue merle & tricolour,9.1.2018,2,0,2
HUISIN,blue merle & tricolour,6.1.2018,2,5,7
KHIMAIRAN,blue merle & tricolour,6.1.2018,2,1,3
PRETTYLITTLE,blue merle & tricolour,6.1.2018,2,2,4
FLAMING SNOW'S,black and white & sable,6.1.2018,2,4,6
HUISIN,black and white & blue merle,2.1.2018,2,2,4
HELSKON,sable & sable,27.12.2017,1,3,4
KHIMAIRAN,sable & sable,27.12.2017,0,1,1
DALIMATTAS,blue merle & tricolour,27.12.2017,1,1,2
LINNAISTEN,blue merle & tricolour,17.12.2017,2,2,4
HELSKON,sable & sable,16.12.2017,2,2,4
KIVIVUOREN,blue merle & tricolour,16.12.2017,4,2,6
SATULAAKSON,blue merle & tricolour,15.12.2017,2,2,4
SAFIRASLIKE,sable & sable,13.12.2017,1,1,2
SNOWGLOW'S,blue merle & tricolour,13.12.2017,3,1,4
ELTSUN,blue merle & tricolour,13.12.2017,2,1,3
KIVIVUOREN,tricolour & tricolour,9.12.2017,2,3,5
CHILLY BREEZE,blue merle & tricolour,9.12.2017,2,2,4
AMOROSAN,sable & tricolour,8.12.2017,1,1,2
MY YANQUI'S,sable & tricolour,7.12.2017,1,0,1
LÄHDERINTEEN,sable & sable,1.12.2017,2,3,5
BERNOBAN,black and white & blue merle,30.11.2017,3,3,6
SATULEHDON,sable & sable,28.11.2017,2,2,4
ZETLAND'S,sable & tricolour,28.11.2017,6,1,7
PÄÄTTYMÄTÖN,sable & tricolour,23.11.2017,2,4,6
RIVERLINE,sable & tricolour,21.11.2017,1,0,1
ONNENPISARAN,sable & sable,13.11.2017,1,0,1
MILENNAS,black and white & blue merle,10.11.2017,2,1,3
FROSTY NIGHT'S,blue merle & tricolour,26.10.2017,1,1,2
ZETLAND'S,sable & sable,1.10.2017,1,1,2
KÄPÄLÄMETSÄN,tricolour & tricolour,2.11.2017,3,4,7
TULIHÄNNÄN,sable & tricolour,31.10.2017,1,1,2
BUMTSI BUM,blue merle & tricolour,28.10.2017,1,4,5
FULLMOON DIAMONDS,sable & tricolour,28.10.2017,1,1,2
IHMETASSUN,black and white & blue merle,28.10.2017,2,1,3
ZELMARIAN,blue merle & tricolour,26.10.2017,1,2,3
BLUEMEADOW'S,blue merle & tricolour,26.10.2017,2,2,4
WINDYDREAMS,blue merle & tricolour,22.10.2017,4,3,7
MERRY MOONRAY'S,sable & tricolour,22.10.2017,1,1,2
JEONAN,sable & sable,21.10.2017,2,2,4
NICE TRY,sable & tricolour,21.10.2017,3,1,4
DRAMA DONCELLA'S,sable & tricolour,18.10.2017,1,2,3
BLACK SARA'S,sable & sable,15.10.2017,0,2,2
BOSOM BUDDY'S,blue merle & tricolour,15.10.2017,3,1,4
JASMIRIN,tricolour & tricolour,14.10.2017,4,1,5
TULIHÄNNÄN,black and white & blue merle,11.10.2017,0,2,2
PÄHKINÄPOLUN,blue merle & tricolour,11.10.2017,1,4,5
HELMILÄN,black and white & blue merle,10.10.2017,1,2,3
SUSADAN,blue merle & tricolour,10.10.2017,3,1,4
NEAT DREAM,tricolour & tricolour,9.10.2017,1,2,3
ANYWAY,blue merle & tricolour,9.10.2017,0,4,4
ASTANJAN,blue merle & tricolour,8.10.2017,1,2,3
,black and white & blue merle,4.10.2017,2,3,5
COOL MELODY,sable & tricolour,2.10.2017,2,2,4
DREAMLOOK,sable & sable,2.10.2017,0,2,2
SHANDY'S,sable & tricolour,30.9.2017,0,3,3
AMARANTES,blue merle & tricolour,30.9.2017,2,3,5
PIKIKUONON,blue merle & tricolour,30.9.2017,0,3,3
ANYWAY,sable & sable,30.9.2017,1,0,1
DALIMATTAS,blue merle & tricolour,29.9.2017,2,1,3
SHADOWMIST,sable & tricolour,29.9.2017,1,2,3
SHET UP,blue merle & tricolour,23.9.2017,0,1,1
PIKIKUONON,sable & sable,20.9.2017,3,1,4
SUZI-DOG'S,sable & tricolour,19.9.2017,3,2,5
TRICKY BLUE'S,blue merle & tricolour,18.9.2017,1,1,2
GOLDEN ROSE,sable & tricolour,17.9.2017,3,2,5
HELMILÄN,blue merle & tricolour,16.9.2017,2,1,3
SHADELAND,blue merle & tricolour,16.9.2017,3,1,4
LEMMIKKIPOLUN,sable & sable,15.9.2017,2,1,3
PARADISEHILL,blue merle & tricolour,14.9.2017,1,4,5
PÄHKINÄPOLUN,sable & sable,14.9.2017,3,1,4
GOLDEN ROSE,blue merle & tricolour,13.9.2017,5,1,6
TÄHTITOMUN,blue merle & tricolour,12.9.2017,2,2,4
VILLANILLAN,blue merle & tricolour,10.9.2017,2,3,5
RIVERLINE,blue merle & tricolour,10.9.2017,1,2,3
PARADISEHILL,blue merle & tricolour,9.9.2017,2,2,4
BLACK SHEPARD'S,black and white & blue merle,9.9.2017,1,1,2
REVONHÄNNÄN,sable & sable,5.9.2017,2,0,2
SNOWGLOW'S,tricolour & tricolour,5.9.2017,2,1,3
CHEERFUL BLACK,sable & tricolour,4.9.2017,2,3,5
STARSONG,sable & tricolour,4.9.2017,0,1,1
BLENMOON,blue merle & tricolour,3.9.2017,1,1,2
CHEERYMAI,tricolour & tricolour,3.9.2017,2,3,5
DASH'ING,sable & sable,2.9.2017,0,1,1
TULIHÄNNÄN,blue merle & tricolour,2.9.2017,3,3,6
HELMENHALTIAN,blue merle & tricolour,31.8.2017,0,1,1
BAYARIN,sable & tricolour,30.8.2017,4,3,7
NOOPELIN,black and white & blue merle,29.8.2017,1,2,3
PIKIKUONON,tricolour & tricolour,28.8.2017,3,1,4
FOXITAR,sable & sable,27.8.2017,1,2,3
NEAT DREAM,sable & sable,26.8.2017,3,2,5
IHMETASSUN,sable & tricolour,25.8.2017,2,1,3
SMARTTEAMS,sable & sable,25.8.2017,2,2,4
PIKIKUONON,sable & tricolour,25.8.2017,1,0,1
,blue merle & tricolour,24.8.2017,1,1,2
BERNOBAN,black and white & sable,23.8.2017,1,2,3
TAIKARANNAN,tricolour & tricolour,22.8.2017,0,2,2
STARSONG,sable & tricolour,21.8.2017,3,2,5
SHEEPWHISPER'S,sable & sable,20.8.2017,3,2,5
BERNOBAN,blue merle & tricolour,20.8.2017,4,1,5
LEMIRA,blue merle & tricolour,18.8.2017,4,0,4
PYRYTUULEN,blue merle & tricolour,18.8.2017,1,0,1
PILVIKIRSIKAN,sable & sable,14.8.2017,3,1,4
ROSEBRIDGE'S,blue merle & tricolour,11.8.2017,0,3,3
STARSONG,sable & sable,11.8.2017,1,1,2
TAIKARANNAN,sable & tricolour,8.8.2017,1,4,5
MEUKOW,black and white & blue merle,7.8.2017,2,2,4
VARJOKLAANIN,black and white & blue merle,6.8.2017,2,4,6
USVATAR,sable & sable,4.8.2017,0,2,2
SHELEGIAN,sable & tricolour,4.8.2017,1,2,3
LELLUKAN,blue merle & tricolour,3.8.2017,2,3,5
KAIHOLAN,blue merle & tricolour,2.8.2017,2,2,4
DASH'ING,blue merle & tricolour,2.8.2017,3,2,5
CLASSICWAY,sable & sable,31.7.2017,1,0,1
LINNAISTEN,sable & tricolour,31.7.2017,4,0,4
PIKKUPAIMENEN,sable & sable,30.7.2017,1,4,5
GONNABE,black and white & sable,30.7.2017,2,2,4
KÄPÄLÄKOPLAN,black and white & tricolour,30.7.2017,3,1,4
LUSIAN,sable & sable,29.7.2017,2,4,6
NAPPULAVAARAN,blue merle & tricolour,29.7.2017,3,1,4
CELEBREN,blue merle & tricolour,28.7.2017,2,3,5
SIMBELULUN,sable & tricolour,26.7.2017,3,2,5
KIITÄJÄN,sable & sable,26.7.2017,1,0,1
BRIDEMOOR'S,sable & sable,26.7.2017,0,1,1
